Analysis Neighborhood,Incident Category,Incident Number
Marina,Traffic Violation Arrest,27
South of Market,Suicide,10
Mission Bay,Malicious Mischief,152
Noe Valley,Suspicious Occ,45
Bayview Hunters Point,Arson,58
Lincoln Park,Missing Person,1
Outer Richmond,Rape,1
Portola,Arson,3
Visitacion Valley,Lost Property,32
Noe Valley,Weapons Carrying Etc,1
Castro/Upper Market,Forgery And Counterfeiting,19
Pacific Heights,Robbery,42
Chinatown,Offences Against The Family And Children,82
South of Market,Motor Vehicle Theft,450
Financial District/South Beach,Warrant,437
Treasure Island,Offences Against The Family And Children,15
Visitacion Valley,Malicious Mischief,191
Sunset/Parkside,Fraud,320
Potrero Hill,Arson,7
Mission Bay,Lost Property,128
Lakeshore,Burglary,49
Excelsior,Drug Offense,25
Financial District/South Beach,Sex Offense,14
Haight Ashbury,Recovered Vehicle,50
West of Twin Peaks,Larceny Theft,1174
Lakeshore,Courtesy Report,5
Presidio Heights,Case Closure,1
Marina,Liquor Laws,1
Bayview Hunters Point,Gambling,1
Japantown,Prostitution,5
Inner Sunset,Suspicious,1
Lone Mountain/USF,Weapons Offense,4
Outer Richmond,Assault,159
Outer Mission,Weapons Offense,25
Inner Sunset,Weapons Offense,7
South of Market,Civil Sidewalks,2
Castro/Upper Market,,6
Japantown,Malicious Mischief,133
Castro/Upper Market,Miscellaneous Investigation,43
Bernal Heights,Stolen Property,9
Nob Hill,Drug Offense,81
Hayes Valley,Other Miscellaneous,263
McLaren Park,Missing Person,10
North Beach,Offences Against The Family And Children,49
Japantown,Lost Property,49
Mission,Other Offenses,142
Golden Gate Park,Recovered Vehicle,54
Lincoln Park,Non-Criminal,9
Financial District/South Beach,Traffic Collision,23
Potrero Hill,Gambling,1
North Beach,Larceny Theft,2440
Mission,Other,126
Tenderloin,Stolen Property,118
Inner Richmond,Missing Person,45
Outer Richmond,Miscellaneous Investigation,38
Outer Richmond,,7
Castro/Upper Market,Assault,415
Visitacion Valley,Vandalism,4
Presidio Heights,Warrant,15
Lone Mountain/USF,Fraud,76
Russian Hill,Motor Vehicle Theft,133
null,Recovered Vehicle,1
Inner Sunset,Fraud,106
Outer Mission,Fraud,91
Noe Valley,Courtesy Report,3
Seacliff,Missing Person,4
Pacific Heights,Other Miscellaneous,141
Mission Bay,Vandalism,9
Lone Mountain/USF,Fire Report,3
Bernal Heights,Warrant,79
Outer Mission,Vehicle Misplaced,1
Sunset/Parkside,Disorderly Conduct,101
Castro/Upper Market,Lost Property,189
Inner Sunset,Fire Report,1
Outer Mission,Fire Report,4
Mission,Courtesy Report,56
Tenderloin,Case Closure,33
Lone Mountain/USF,Vehicle Misplaced,1
Bernal Heights,Sex Offense,3
Mission Bay,Forgery And Counterfeiting,22
Golden Gate Park,Traffic Violation Arrest,31
Seacliff,Robbery,3
Oceanview/Merced/Ingleside,Drug Offense,10
Lakeshore,Other Offenses,16
South of Market,Motor Vehicle Theft?,2
Inner Richmond,Robbery,22
Noe Valley,Other,28
Lincoln Park,Other Miscellaneous,6
Inner Richmond,Embezzlement,6
Glen Park,Offences Against The Family And Children,13
Visitacion Valley,Forgery And Counterfeiting,2
Japantown,Miscellaneous Investigation,8
Castro/Upper Market,Malicious Mischief,356
Hayes Valley,Non-Criminal,227
Outer Richmond,Lost Property,79
Tenderloin,Sex Offense,38
Glen Park,Larceny Theft,340
Lakeshore,Other,13
Presidio Heights,Stolen Property,7
McLaren Park,Robbery,11
South of Market,Drug Offense,780
Sunset/Parkside,Vehicle Impounded,2
Noe Valley,Other Offenses,6
Tenderloin,Warrant,1419
North Beach,Arson,7
Excelsior,Motor Vehicle Theft,189
Bernal Heights,Case Closure,3
Mission Bay,Rape,2
Pacific Heights,Non-Criminal,171
Oceanview/Merced/Ingleside,Motor Vehicle Theft?,2
Outer Richmond,Malicious Mischief,269
Nob Hill,Civil Sidewalks,3
Excelsior,Suicide,2
Financial District/South Beach,Family Offense,9
Japantown,Assault,73
Bayview Hunters Point,Other,72
Financial District/South Beach,Liquor Laws,2
Western Addition,Other Offenses,55
Outer Mission,Motor Vehicle Theft?,1
Presidio,Other,10
Portola,Other,10
Outer Richmond,Other Miscellaneous,260
Bernal Heights,Recovered Vehicle,94
Chinatown,Courtesy Report,125
Twin Peaks,Other,9
Treasure Island,Courtesy Report,1
Hayes Valley,Assault,230
South of Market,Fire Report,11
Russian Hill,Disorderly Conduct,57
Golden Gate Park,Stolen Property,11
Nob Hill,Fraud,210
North Beach,Burglary,169
South of Market,Vehicle Misplaced,3
Marina,Traffic Collision,8
Potrero Hill,Other,13
Pacific Heights,,1
Pacific Heights,Miscellaneous Investigation,48
Tenderloin,Recovered Vehicle,384
Mission,Gambling,2
Lincoln Park,Malicious Mischief,22
Mission Bay,Missing Person,148
Castro/Upper Market,Other Miscellaneous,409
Nob Hill,Weapons Offense,20
Potrero Hill,Other Offenses,22
Seacliff,Vandalism,1
Japantown,Non-Criminal,75
Hayes Valley,,3
West of Twin Peaks,Courtesy Report,2
Outer Mission,Drug Offense,33
Inner Sunset,Drug Offense,9
Bayview Hunters Point,Other Offenses,115
Hayes Valley,Miscellaneous Investigation,42
Inner Richmond,Vandalism,4
North Beach,Weapons Carrying Etc,12
Presidio,Other Offenses,1
Lone Mountain/USF,Drug Offense,13
null,Stolen Property,1
Russian Hill,Vehicle Impounded,1
